Estructura de almacenamiento (MW)

Hora,Turbinación bombeo,Consumo bombeo,Baterías,Consumo baterías
"2025-04-27 21:00","1584","-216","9","0",
"2025-04-27 21:05","1718","-216","9","0",
"2025-04-27 21:10","1845","-216","9","0",
"2025-04-27 21:15","1873","-216","9","0",
"2025-04-27 21:20","1841","-216","9","0",
"2025-04-27 21:25","1833","-216","9","0",
"2025-04-27 21:30","1751","-216","9","0",
"2025-04-27 21:35","1585","-216","9","0",
"2025-04-27 21:40","1607","-216","4","0",
"2025-04-27 21:45","1676","-216","4","0",
"2025-04-27 21:50","1688","-216","4","0",
"2025-04-27 21:55","1679","-216","3","0",
"2025-04-27 22:00","1582","-216","3","0",
"2025-04-27 22:05","1539","-216","2","0",
"2025-04-27 22:10","1463","-216","2","0",
"2025-04-27 22:15","1575","-216","1","0",
"2025-04-27 22:20","1561","-216","1","0",
"2025-04-27 22:25","1443","-216","1","0",
"2025-04-27 22:30","1395","-216","1","0",
"2025-04-27 22:35","1428","-216","0","0",
"2025-04-27 22:40","1613","-216","0","0",
"2025-04-27 22:45","1512","-216","0","0",
"2025-04-27 22:50","1439","-216","0","0",
"2025-04-27 22:55","1517","-216","0","0",
"2025-04-27 23:00","1481","-216","0","0",
"2025-04-27 23:05","1655","-216","0","0",
"2025-04-27 23:10","1637","-216","0","0",
"2025-04-27 23:15","1314","-216","0","0",
"2025-04-27 23:20","1362","-216","0","0",
"2025-04-27 23:25","1482","-351","0","0",
"2025-04-27 23:30","1523","-351","0","0",
"2025-04-27 23:35","1624","-483","0","0",
"2025-04-27 23:40","1592","-485","0","0",
"2025-04-27 23:45","1591","-507","0","0",
"2025-04-27 23:50","1569","-619","0","0",
"2025-04-27 23:55","1566","-618","0","0",
"2025-04-28 00:00","1308","-745","0","0",
"2025-04-28 00:05","1454","-744","0","0",
"2025-04-28 00:10","1317","-744","0","0",
"2025-04-28 00:15","1346","-748","0","0",
"2025-04-28 00:20","1352","-744","0","0",
"2025-04-28 00:25","1359","-745","0","0",
"2025-04-28 00:30","1355","-745","0","0",
"2025-04-28 00:35","1396","-746","0","0",
"2025-04-28 00:40","1334","-747","0","0",
"2025-04-28 00:45","1151","-747","0","0",
"2025-04-28 00:50","1044","-747","0","0",
"2025-04-28 00:55","1083","-746","0","0",
"2025-04-28 01:00","1103","-746","0","0",
"2025-04-28 01:05","1112","-745","0","0",
"2025-04-28 01:10","1093","-743","0","0",
"2025-04-28 01:15","1157","-745","0","0",
"2025-04-28 01:20","1178","-745","0","0",
"2025-04-28 01:25","1177","-744","0","0",
"2025-04-28 01:30","1102","-773","0","0",
"2025-04-28 01:35","1089","-880","0","0",
"2025-04-28 01:40","998","-879","0","0",
"2025-04-28 01:45","964","-880","0","0",
"2025-04-28 01:50","827","-878","0","0",
"2025-04-28 01:55","918","-878","0","0",
"2025-04-28 02:00","854","-878","0","0",
"2025-04-28 02:05","1046","-928","0","0",
"2025-04-28 02:10","1140","-930","0","0",
"2025-04-28 02:15","1048","-929","0","0",
"2025-04-28 02:20","1130","-929","0","0",
"2025-04-28 02:25","1145","-930","0","0",
"2025-04-28 02:30","1146","-929","0","0",
"2025-04-28 02:35","1147","-930","0","0",
"2025-04-28 02:40","1104","-931","0","0",
"2025-04-28 02:45","1127","-931","0","0",
"2025-04-28 02:50","1050","-930","0","0",
"2025-04-28 02:55","1066","-930","0","0",
"2025-04-28 03:00","1137","-929","0","0",
"2025-04-28 03:05","1132","-930","0","0",
"2025-04-28 03:10","1005","-931","0","0",
"2025-04-28 03:15","938","-932","0","0",
"2025-04-28 03:20","963","-931","0","0",
"2025-04-28 03:25","906","-928","0","0",
"2025-04-28 03:30","887","-930","0","0",
"2025-04-28 03:35","1000","-929","0","0",
"2025-04-28 03:40","888","-929","0","0",
"2025-04-28 03:45","887","-930","0","0",
"2025-04-28 03:50","962","-930","0","0",
"2025-04-28 03:55","978","-928","0","0",
"2025-04-28 04:00","1075","-929","0","0",
"2025-04-28 04:05","1204","-930","0","0",
"2025-04-28 04:10","1168","-927","0","0",
"2025-04-28 04:15","1277","-930","0","0",
"2025-04-28 04:20","1242","-930","0","0",
"2025-04-28 04:25","1165","-927","0","0",
"2025-04-28 04:30","1180","-930","0","0",
"2025-04-28 04:35","1225","-928","0","0",
"2025-04-28 04:40","1189","-928","0","0",
"2025-04-28 04:45","1225","-928","0","0",
"2025-04-28 04:50","977","-929","0","0",
"2025-04-28 04:55","950","-928","0","0",
"2025-04-28 05:00","962","-931","0","0",
"2025-04-28 05:05","1110","-928","0","0",
"2025-04-28 05:10","1206","-926","0","0",
"2025-04-28 05:15","1140","-928","0","0",
"2025-04-28 05:20","1130","-931","0","0",
"2025-04-28 05:25","1140","-927","0","0",
"2025-04-28 05:30","1185","-927","0","0",
"2025-04-28 05:35","1173","-927","0","0",
"2025-04-28 05:40","990","-927","0","0",
"2025-04-28 05:45","1131","-928","0","0",
"2025-04-28 05:50","1074","-875","0","0",
"2025-04-28 05:55","997","-875","0","0",
"2025-04-28 06:00","838","-878","0","0",
"2025-04-28 06:05","848","-875","0","0",
"2025-04-28 06:10","1060","-871","0","0",
"2025-04-28 06:15","1201","-874","0","0",
"2025-04-28 06:20","1245","-873","0","0",
"2025-04-28 06:25","1152","-874","0","0",
"2025-04-28 06:30","1252","-875","0","0",
"2025-04-28 06:35","1208","-619","0","0",
"2025-04-28 06:40","1073","-622","0","0",
"2025-04-28 06:45","1172","-459","0","0",
"2025-04-28 06:50","1202","-216","0","0",
"2025-04-28 06:55","1390","-216","0","0",
"2025-04-28 07:00","1520","-216","0","0",
"2025-04-28 07:05","1850","-216","0","0",
"2025-04-28 07:10","1890","-216","0","0",
"2025-04-28 07:15","1980","-216","0","0",
"2025-04-28 07:20","2071","-216","0","0",
"2025-04-28 07:25","2053","-216","0","0",
"2025-04-28 07:30","2094","-216","0","0",
"2025-04-28 07:35","2146","-216","0","0",
"2025-04-28 07:40","2126","-216","0","0",
"2025-04-28 07:45","2096","-216","0","0",
"2025-04-28 07:50","2051","-216","0","0",
"2025-04-28 07:55","1910","-216","0","0",
"2025-04-28 08:00","1526","-216","0","0",
"2025-04-28 08:05","1210","-216","1","0",
"2025-04-28 08:10","1232","-137","1","0",
"2025-04-28 08:15","1217","-137","1","0",
"2025-04-28 08:20","1141","-137","1","0",
"2025-04-28 08:25","1054","-137","0","0",
"2025-04-28 08:30","896","-270","2","0",
"2025-04-28 08:35","955","-271","2","0",
"2025-04-28 08:40","849","-302","2","0",
"2025-04-28 08:45","751","-409","2","0",
"2025-04-28 08:50","761","-438","0","0",
"2025-04-28 08:55","781","-573","2","0",
"2025-04-28 09:00","858","-579","2","0",
"2025-04-28 09:05","1009","-631","0","-2",
"2025-04-28 09:10","1000","-732","0","-1",
"2025-04-28 09:15","992","-787","0","-1",
"2025-04-28 09:20","851","-830","0","-1",
"2025-04-28 09:25","620","-922","0","-1",
"2025-04-28 09:30","395","-970","0","0",
"2025-04-28 09:35","264","-963","0","-2",
"2025-04-28 09:40","185","-994","0","-2",
"2025-04-28 09:45","174","-1036","0","-3",
"2025-04-28 09:50","171","-1061","0","-3",
"2025-04-28 09:55","93","-1425","0","-3",
"2025-04-28 10:00","87","-1837","0","-3",
"2025-04-28 10:05","28","-2021","0","-2",
"2025-04-28 10:10","28","-2125","0","-1",
"2025-04-28 10:15","28","-2439","0","-1",
"2025-04-28 10:20","28","-2615","0","-1",
"2025-04-28 10:25","28","-2836","0","-1",
"2025-04-28 10:30","28","-2829","0","-1",
"2025-04-28 10:35","28","-2823","0","-1",
"2025-04-28 10:40","28","-2840","0","-1",
"2025-04-28 10:45","28","-2829","0","-1",
"2025-04-28 10:50","28","-2823","0","-1",
"2025-04-28 10:55","28","-2827","0","-2",
"2025-04-28 11:00","28","-2917","0","-2",
"2025-04-28 11:05","28","-2871","0","-2",
"2025-04-28 11:10","28","-2906","0","-2",
"2025-04-28 11:15","28","-2910","0","-2",
"2025-04-28 11:20","28","-2996","0","-2",
"2025-04-28 11:25","28","-3002","0","-2",
"2025-04-28 11:30","28","-2973","0","-2",
"2025-04-28 11:35","28","-2964","0","-2",
"2025-04-28 11:40","28","-2973","0","-2",
"2025-04-28 11:45","28","-2968","0","-2",
"2025-04-28 11:50","28","-2976","0","-2",
"2025-04-28 11:55","28","-2995","0","-2",
"2025-04-28 12:00","28","-3018","0","-2",
"2025-04-28 12:05","28","-2988","0","-8",
"2025-04-28 12:10","28","-3028","0","-8",
"2025-04-28 12:15","28","-3041","0","-8",
"2025-04-28 12:20","28","-3045","0","-8",
"2025-04-28 12:25","28","-3038","0","-8",
"2025-04-28 12:30","28","-3030","0","-8",
"2025-04-28 12:35","28","-893","0","-1",
"2025-04-28 12:40","28","-845","0","-1",
"2025-04-28 12:45","28","-845","0","-1",
"2025-04-28 12:50","28","-845","0","-1",
"2025-04-28 12:55","28","-845","0","-1",
"2025-04-28 13:00","28","-845","0","-1",
"2025-04-28 13:05","28","-846","0","-1",
"2025-04-28 13:10","28","-845","0","-1",
"2025-04-28 13:15","29","-845","0","-1",
"2025-04-28 13:20","28","-846","0","-1",
"2025-04-28 13:25","28","-845","0","-1",
"2025-04-28 13:30","28","-845","0","-1",
"2025-04-28 13:35","28","-845","0","-1",
"2025-04-28 13:40","28","-845","0","-1",
"2025-04-28 13:45","28","-845","0","-1",
"2025-04-28 13:50","28","-845","0","-1",
"2025-04-28 13:55","28","-845","0","-1",
"2025-04-28 14:00","29","-845","0","-1",
"2025-04-28 14:05","29","-284","0","-1",
"2025-04-28 14:10","29","-284","0","-1",
"2025-04-28 14:15","29","-284","0","-1",
"2025-04-28 14:20","29","-284","0","-1",
"2025-04-28 14:25","29","-284","0","-1",
"2025-04-28 14:30","29","-284","0","-1",
"2025-04-28 14:35","29","-284","0","-1",
"2025-04-28 14:40","29","-284","0","-1",
"2025-04-28 14:45","29","-284","0","-1",
"2025-04-28 14:50","29","-284","0","-1",
"2025-04-28 14:55","29","-284","0","-1",
"2025-04-28 15:00","28","-284","0","-1",
