Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-04-27 21:00","7114","3389","0","187","3376","-810","-268","330","866","530","1616","-20","-71","0","-2337","0","1724","0","0","7092",
"2025-04-27 21:05","7289","3390","0","187","3439","-839","-268","219","854","526","1625","-20","-182","0","-2461","0","1807","0","0","7275",
"2025-04-27 21:10","7404","3387","0","187","3364","-548","-268","177","834","526","1627","-21","-182","0","-2164","0","1855","0","0","7275",
"2025-04-27 21:15","7122","3383","0","187","3389","-538","-267","153","816","526","1625","-20","-107","0","-2293","0","1891","0","0","7588",
"2025-04-27 21:20","7202","3385","0","186","3456","-223","-268","148","787","526","1626","-20","-42","0","-2370","0","2178","0","0","7551",
"2025-04-27 21:25","7267","3384","0","186","3435","1","-268","146","749","526","1627","-20","-61","0","-2062","0","2141","0","0","7562",
"2025-04-27 21:30","7319","3386","0","185","3423","-109","-268","145","710","526","1630","-19","0","0","-2172","0","2090","95","0","7714",
"2025-04-27 21:35","7205","3384","0","185","3436","-141","-268","145","697","498","1622","-19","-32","0","-2301","0","2269","0","0","7882",
"2025-04-27 21:40","7095","3385","0","186","3468","-239","-268","144","690","498","1591","-19","-45","0","-2291","0","2225","0","0","7840",
"2025-04-27 21:45","7094","3385","0","186","3302","-126","-267","144","685","498","1617","-19","-113","0","-2219","0","2249","0","0","7822",
"2025-04-27 21:50","6845","3386","0","186","3296","154","-267","142","676","497","1619","-19","-102","0","-1963","0","2273","0","0","7737",
"2025-04-27 21:55","6870","3382","0","183","3273","361","-267","142","674","497","1619","-18","-76","0","-1787","0","2261","0","0","7749",
"2025-04-27 22:00","6776","3383","0","174","3273","483","-249","142","667","497","1596","-17","-116","0","-1514","0","2205","0","0","7575",
"2025-04-27 22:05","6886","3383","0","166","3476","504","-236","126","667","503","1637","-17","-147","0","-1556","0","2234","0","0","7422",
"2025-04-27 22:10","7416","3382","0","165","3314","168","-236","126","665","503","1635","-17","-49","0","-1987","0","2190","0","0","7232",
"2025-04-27 22:15","7460","3386","0","165","3302","-1","-236","126","661","503","1631","-16","-48","0","-1943","0","1984","0","0","7238",
"2025-04-27 22:20","7682","3386","0","164","3347","-712","-236","126","661","507","1638","-15","-16","0","-2424","0","1814","0","0","7281",
"2025-04-27 22:25","7839","3385","0","165","3218","-518","-236","126","659","507","1647","-15","0","0","-2297","0","1754","17","0","7145",
"2025-04-27 22:30","7769","3386","0","165","3206","-672","-236","126","656","507","1639","-15","-1","0","-2492","0","1826","0","0","6811",
"2025-04-27 22:35","7472","3384","0","165","3189","-708","-236","125","656","507","1647","-15","-11","0","-2476","0","1849","0","0","6896",
"2025-04-27 22:40","7098","3386","0","165","3289","-576","-236","125","657","507","1651","-15","0","0","-2467","0","1871","5","0","7030",
"2025-04-27 22:45","7062","3383","0","165","3250","-325","-236","126","657","507","1646","-14","-16","0","-2322","0","1977","0","0","6878",
